y,u1,u2,u3,u4
0,0.471216436,-0.447107151,-0.241080429,-0.380512397
0,0.464668305,-0.441573726,-0.228144026,-0.378973445
0,0.454328017,-0.432859294,-0.20505269,-0.377048286
0,0.441490545,-0.421973214,-0.179848643,-0.373882813
0,0.431906222,-0.41374303,-0.167063728,-0.370215011
0,0.427029817,-0.40996219,-0.136812309,-0.373491041
0,0.42245061,-0.406381875,-0.110059193,-0.376204014
0,0.415925715,-0.401195861,-0.076754113,-0.379020541
0,0.409035213,-0.395536984,-0.051505559,-0.379806021
0,0.405213773,-0.392272397,-0.043706008,-0.378833526
0,0.404876619,-0.392790126,0.00534423,-0.389147833
0,0.404813267,-0.393492516,0.051394567,-0.398979057
0,0.405496761,-0.395109962,0.1134308,-0.412718164
0,0.407953957,-0.39821298,0.170993353,-0.426674968
0,0.41411445,-0.40435842,0.215829185,-0.440348783
0,0.418328479,-0.408080666,0.218203205,-0.443584737
0,0.423033963,-0.412134367,0.21515987,-0.445948324
0,0.430975782,-0.418894594,0.206488779,-0.449103975
0,0.440038611,-0.42661481,0.198414487,-0.45301687
0,0.443698946,-0.429481631,0.181144931,-0.451526793
0,0.44716632,-0.432218247,0.165974303,-0.450374503
0,0.452149735,-0.436217425,0.147855869,-0.449525926
0,0.457562973,-0.440711933,0.135617816,-0.450290403
0,0.45848418,-0.441498826,0.134461554,-0.450641123
0,0.462035241,-0.445515812,0.186090654,-0.464213993
0,0.46558686,-0.449533073,0.236783805,-0.477635864
0,0.47130414,-0.45582493,0.305767158,-0.496642348
0,0.479659882,-0.464524079,0.373479241,-0.51747999
0,0.493907422,-0.478440878,0.430263103,-0.540591932
0,0.493505498,-0.476063982,0.305036277,-0.513599462
0,0.493120135,-0.473698357,0.179626971,-0.48657794
0,0.492005394,-0.469817644,0.001211881,-0.447703644
0,0.488927447,-0.464012586,-0.186261689,-0.405424243
0,0.480774786,-0.453536156,-0.379470305,-0.358172047
0,0.464024987,-0.436068866,-0.528276185,-0.314202524
0,0.456952992,-0.43007264,-0.508812542,-0.313359352
0,0.449031004,-0.423503081,-0.478991098,-0.314183853
0,0.436227823,-0.413020918,-0.425128015,-0.316867624
0,0.420058615,-0.399820889,-0.359835968,-0.319940333
0,0.399171125,-0.382594358,-0.294385503,-0.320301305
0,0.396077717,-0.38001325,-0.287185492,-0.319856449
0,0.391776371,-0.377949302,-0.190409774,-0.338154151
0,0.387993687,-0.376235193,-0.100677687,-0.355317783
0,0.383938445,-0.374681966,0.008953539,-0.376803533
0,0.381442542,-0.374484835,0.11319037,-0.398407863
0,0.382787099,-0.37743973,0.198014001,-0.418708203
0,0.384201576,-0.379033049,0.213000266,-0.42319461
0,0.388078683,-0.383169952,0.24742175,-0.433672737
0,0.392879009,-0.387929546,0.272406779,-0.442631379
0,0.402434761,-0.396878877,0.297451026,-0.454785176
0,0.416968689,-0.409925631,0.310627608,-0.467426924
0,0.42341254,-0.415613575,0.312637674,-0.472101681
0,0.428075603,-0.418958352,0.270302234,-0.465932346
0,0.432707806,-0.422282299,0.22901741,-0.459932102
0,0.439404026,-0.427107435,0.172266111,-0.451795065
0,0.446473741,-0.432263852,0.119138035,-0.444498694
0,0.452893778,-0.437077966,0.082097016,-0.440103496
0,0.453066405,-0.436235409,0.028354479,-0.428339916
0,0.452809491,-0.435103141,-0.020771418,-0.417319729
0,0.451357391,-0.432634543,-0.08517928,-0.402119405
0,0.447559898,-0.428208816,-0.143152552,-0.386738341
0,0.439226856,-0.420057561,-0.186358554,-0.371573957
0,0.437306232,-0.41909959,-0.143361567,-0.379591517
0,0.435200987,-0.418017053,-0.099049843,-0.387820663
0,0.432073349,-0.416427364,-0.034650018,-0.399876039
0,0.429081725,-0.415056434,0.030021773,-0.412387312
0,0.427261125,-0.414787122,0.087249324,-0.424711449
0,0.42924083,-0.417732335,0.148804776,-0.439844219
0,0.43165131,-0.420968051,0.204857867,-0.454090883
0,0.436429232,-0.426669084,0.277520579,-0.473828783
0,0.444419388,-0.435152241,0.342630126,-0.494346864
0,0.459879525,-0.450126926,0.392951048,-0.517196726
0,0.466799905,-0.456196329,0.379501906,-0.519577478
0,0.474088222,-0.462513839,0.36234274,-0.521360641
0,0.485857263,-0.472672059,0.334431878,-0.524067336
0,0.500664627,-0.485526862,0.306193729,-0.528820577
0,0.508360803,-0.492282124,0.296026954,-0.532257053
0,0.512213741,-0.494916923,0.245330214,-0.524211249
0,0.515797205,-0.497369933,0.197781271,-0.516672181
0,0.520545102,-0.500628229,0.133796327,-0.506551306
0,0.524740589,-0.503527811,0.074644665,-0.497253749
0,0.527359199,-0.505386878,0.029580599,-0.490299498
